05-21-15 12:17:36	127.0.0.1	ERROR	admin	class.fsAccessDriver.php	error l.67	message=Cannot create root path for repository (ewikiform). Please check repository configuration or that your folder is writeable!
05-21-15 12:17:42	127.0.0.1	INFO	admin	conf.serial	Switch Repository	rep. id=ajxp_conf
05-21-15 12:18:33	127.0.0.1	INFO	admin	ConfService	Edit Repository	repo_name=ewikiform
05-21-15 12:18:35	127.0.0.1	INFO	admin	conf.serial	Switch Repository	rep. id=ajxp_home
05-21-15 12:18:41	127.0.0.1	INFO	admin	conf.serial	Switch Repository	rep. id=914a9f6d07b9668e57d020a1b19a83bb
05-21-15 12:18:50	127.0.0.1	INFO	admin	conf.serial	Switch Repository	rep. id=ajxp_conf
05-21-15 12:19:11	127.0.0.1	INFO	admin	ConfService	Edit Repository	repo_name=ewikiform
05-21-15 12:20:07	127.0.0.1	INFO	admin	ConfService	Create Repository	repo_name=ewikiexport
05-21-15 12:20:09	127.0.0.1	ERROR	admin	index.php	error l.90	message=You are not allowed to access this resource.
05-21-15 12:20:28	127.0.0.1	INFO	admin	ConfService	Edit Repository	repo_name=ewikiform
05-21-15 12:20:31	127.0.0.1	INFO	admin	conf.serial	Switch Repository	rep. id=ajxp_home
05-21-15 12:20:38	127.0.0.1	INFO	admin	conf.serial	Switch Repository	rep. id=81e4ba713b977e6f836d1f33e4b404cd
05-21-15 12:20:52	127.0.0.1	INFO	admin	conf.serial	Switch Repository	rep. id=ajxp_home
05-21-15 12:20:59	127.0.0.1	INFO	admin	conf.serial	Switch Repository	rep. id=914a9f6d07b9668e57d020a1b19a83bb
05-21-15 12:24:50	127.0.0.1	INFO	admin	conf.serial	Switch Repository	rep. id=ajxp_conf
05-21-15 12:25:35	127.0.0.1	INFO	admin	ConfService	Create Repository	repo_name=html
05-21-15 12:25:36	127.0.0.1	ERROR	admin	index.php	error l.90	message=You are not allowed to access this resource.
05-21-15 12:25:39	127.0.0.1	INFO	admin	conf.serial	Switch Repository	rep. id=ajxp_home
05-21-15 12:25:46	127.0.0.1	INFO	admin	conf.serial	Switch Repository	rep. id=1
05-21-15 12:25:48	127.0.0.1	ERROR	admin	class.fsAccessDriver.php	error l.72	message=Cannot create recycle bin folder. Please check repository configuration or that your folder is writeable!
05-21-15 12:26:16	127.0.0.1	INFO	admin	conf.serial	Switch Repository	rep. id=ajxp_conf
05-21-15 12:27:33	127.0.0.1	INFO	admin	ConfService	Edit Repository	repo_name=html
05-21-15 12:27:36	127.0.0.1	INFO	admin	conf.serial	Switch Repository	rep. id=ajxp_home
05-21-15 12:27:47	127.0.0.1	INFO	admin	conf.serial	Switch Repository	rep. id=6a2e99f326587cbe9f3dd6f9e494f696
